name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town
Dental Aesthetics Limited,"132 Collingwood Street, Nelson 7010, New Zealand",03 545 8440,+64 3 545 8440,https://www.dentalaesthetics.co.nz/our-team/,,,OPERATIONAL,https://maps.google.com/?cid=15958413251492972337&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
Dental Care Nelson,"193 Rutherford Street, Nelson 7010, New Zealand",03 548 8840,+64 3 548 8840,,5,11,OPERATIONAL,https://maps.google.com/?cid=9748447492665031376&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
Fellworth House - AM Dental,"193 Milton Street, The Wood, Nelson 7010, New Zealand",03 548 4345,+64 3 548 4345,http://fellworthhouse.co.nz/,4.8,8,OPERATIONAL,https://maps.google.com/?cid=9477092764883868942&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,dental_clinic,Nelson/Tasman,Nelson
Fresh Dental,"5 Bail Street, Stoke, Nelson 7011, New Zealand",03 547 6799,+64 3 547 6799,http://freshdental.co.nz/?utm_source=gmb&utm_medium=organic,4.6,18,OPERATIONAL,https://maps.google.com/?cid=12947379589021829280&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
Gentle Dental Nelson Ltd,"32 Bridge Street, Nelson 7010, New Zealand",03 548 4601,+64 3 548 4601,http://www.gentledentalnelson.co.nz/,4.5,68,OPERATIONAL,https://maps.google.com/?cid=8163638863510554812&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
Lumino Nelson | Lumino The Dentists,"72 Collingwood Street, Nelson 7010, New Zealand",03 548 3693,+64 3 548 3693,https://lumino.co.nz/dentists/lumino-nelson/?utm_source=google_business_profile&utm_medium=organic,4.6,24,OPERATIONAL,https://maps.google.com/?cid=15937685763708156646&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 9:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
Munro Dental,"37 Bridge Street, Nelson 7010, New Zealand",03 548 0000,+64 3 548 0000,http://www.munrodental.co.nz/,4.9,21,OPERATIONAL,https://maps.google.com/?cid=10931002427547438696&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
Nelson Dental Centre,"41A Halifax Street, Nelson 7010, New Zealand",03 548 4445,+64 3 548 4445,http://www.nelsondental.co.nz/,4,51,OPERATIONAL,https://maps.google.com/?cid=13490932175098274384&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
Nelson Denture Clinic,"52 Waimea Road, Nelson South, Nelson 7010, New Zealand",03 548 1478,+64 3 548 1478,https://www.nelsondentureclinic.co.nz/,5,98,OPERATIONAL,https://maps.google.com/?cid=12794026151871037534&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: Closed; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
Nelson Endodontic Centre,"27 Waimea Road, Nelson South, Nelson 7010, New Zealand",03 546 6981,+64 3 546 6981,https://www.waimeadental.co.nz/,5,1,OPERATIONAL,https://maps.google.com/?cid=12270882757466585769&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 4:30 PM; Tuesday: 8:30 AM – 4:30 PM; Wednesday: 8:30 AM – 4:30 PM; Thursday: 8:30 AM – 4:30 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
Nelson Hospital Dental Department,"Nelson South, Nelson 7010, New Zealand",03 546 1973,+64 3 546 1973,https://www.nmdhb.govt.nz/health-services/community-and-outpatient-services/hospital-oral-health-service/,5,2,OPERATIONAL,https://maps.google.com/?cid=15552361795197117027&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 4:30 PM; Tuesday: 8:00 AM – 4:30 PM; Wednesday: 8:00 AM – 4:30 PM; Thursday: 8:00 AM – 4:30 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
Nelson Oral Surgery,"37 Manuka Street, Nelson 7010, New Zealand",03 548 0838,+64 3 548 0838,http://www.nelsonoralsurgery.co.nz/,4.6,9,OPERATIONAL,https://maps.google.com/?cid=2371570905375252637&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Nelson/Tasman,Nelson
Nelson Orthodontics,"27 Waimea Road, Nelson South, Nelson 7010, New Zealand",03 546 6981,+64 3 546 6981,http://www.nelsonortho.nz/,4.7,27,OPERATIONAL,https://maps.google.com/?cid=12050764537829679575&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
One Dental Nelson - Stoke,"575 Main Road Stoke, Stoke, Nelson 7011, New Zealand",03 547 7725,+64 3 547 7725,http://www.onedental.co.nz/,4.7,98,OPERATIONAL,https://maps.google.com/?cid=17282486875112458144&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
Quin Dental,"14 New Street, Nelson 7010, New Zealand",03 928 0121,+64 3 928 0121,http://quindental.nz/,5,11,OPERATIONAL,https://maps.google.com/?cid=2436790981098848898&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
Tahunanui Dental Centre,"85 Tahunanui Drive, Tāhunanui, Nelson 7011, New Zealand",03 548 6564,+64 3 548 6564,https://www.tahunanuidental.co.nz/,4.5,11,OPERATIONAL,https://maps.google.com/?cid=4045980183485001255&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
Tasman Dental Centre,"Lower Queen Street Health, 355 Queen Street, Richmond, Nelson 7020, New Zealand",03 544 6776,+64 3 544 6776,http://www.tasmandental.co.nz/,4.3,6,OPERATIONAL,https://maps.google.com/?cid=633070357022476379&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
Bays Dentures,"41 Washbourn Drive, Richmond 7020, New Zealand",03 546 4455,+64 3 546 4455,http://www.baysdentures.co.nz/,5,13,OPERATIONAL,https://maps.google.com/?cid=5781242728318002180&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Richmond
Dental Care Richmond,"12 Salisbury Road, Richmond 7020, New Zealand",03 543 9230,+64 3 543 9230,,5,15,OPERATIONAL,https://maps.google.com/?cid=14603568804232482152&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Richmond
Emmaus Dental | Richmond,"205 Queen Street, Richmond 7020, New Zealand",03 544 8178,+64 3 544 8178,http://www.emmaus.dental/,4.6,32,OPERATIONAL,https://maps.google.com/?cid=8253819650547513004&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Richmond
My Smile NZ,"195 Queen Street, Richmond 7020, New Zealand",022 307 7975,+64 22 307 7975,https://www.fresha.com/book-now/skinpro-the-brows-lash-space-my-smile-nz-oukim79v/all-offer?pId=678771,,,OPERATIONAL,https://maps.google.com/?cid=15801453262779698965&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: Closed,dental_clinic,Nelson/Tasman,Richmond
Nelson Orthodontics,"57 Salisbury Road, Richmond 7020, New Zealand",03 546 6981,+64 3 546 6981,https://www.nelsonortho.nz/,4.8,6,OPERATIONAL,https://maps.google.com/?cid=9212841869091410354&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Richmond
Steph Wills Dental Surgery,"4 Salisbury Road, Richmond 7020, New Zealand",03 544 5985,+64 3 544 5985,http://www.stephwillsdental.co.nz/,5,5,OPERATIONAL,https://maps.google.com/?cid=6809120845137908543&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Richmond
Waimea Dental,"57 Salisbury Road, Richmond 7020, New Zealand",03 544 1902,+64 3 544 1902,https://www.waimeadental.co.nz/,,,OPERATIONAL,https://maps.google.com/?cid=12822901491619327592&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Richmond
Golden Bay Dental Centre,"120 Commercial Street, Tākaka 7110, New Zealand",03 525 8340,+64 3 525 8340,,3,14,OPERATIONAL,https://maps.google.com/?cid=4632336690344848414&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Monday: Closed; Tuesday: 8:30 AM – 1:00 PM, 1:30 – 4:30 PM; Wednesday: 8:30 AM – 1:00 PM, 1:30 – 4:30 PM; Thursday: 8:30 AM – 1:00 PM, 1:30 – 4:30 PM; Friday: Closed; Saturday: Closed; Sunday: Closed",dental_clinic,Nelson/Tasman,Tākaka
A G Spence Dental Surgery,"150 Middle Renwick Road, Springlands, Blenheim 7201, New Zealand",03 578 9009,+64 3 578 9009,,,,OPERATIONAL,https://maps.google.com/?cid=8006038186071273840&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Marlborough,Blenheim
Beattie Rose And Gilchist,"16 Francis Street, Blenheim Central, Blenheim 7201, New Zealand",03 578 5135,+64 3 578 5135,,4.3,14,OPERATIONAL,https://maps.google.com/?cid=11827012849372804788&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:30 PM; Tuesday: 8:00 AM – 5:30 PM; Wednesday: 8:00 AM – 5:30 PM; Thursday: 8:00 AM – 5:30 PM; Friday: 8:00 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,needs_verification,Marlborough,Blenheim
Blenheim Dental Care,"150 Middle Renwick Road, Springlands, Blenheim 7201, New Zealand",03 578 9009,+64 3 578 9009,http://blenheimdentalcare.co.nz/,4.3,11,OPERATIONAL,https://maps.google.com/?cid=372593275305567037&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Marlborough,Blenheim
Blenheim Denture Studio,"71 Alfred Street, Blenheim Central, Blenheim 7201, New Zealand",03 578 4344,+64 3 578 4344,,,,OPERATIONAL,https://maps.google.com/?cid=10505914600259379239&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 4:30 PM; Tuesday: 9:00 AM – 4:30 PM; Wednesday: 9:00 AM – 4:30 PM; Thursday: 9:00 AM – 4:30 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,dental_clinic,Marlborough,Blenheim
Community Oral Health Service,"56 Nelson Street, Springlands, Blenheim 7201, New Zealand",0800 833 849,+64 800 833 849,,3.7,3,OPERATIONAL,https://maps.google.com/?cid=7914923685116362872&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Marlborough,Blenheim
Durrheim & Associates,"4 Richardson Avenue, Burleigh, Blenheim 7201, New Zealand",03 578 5843,+64 3 578 5843,https://www.durrheimandassociates.co.nz/,4.2,30,OPERATIONAL,https://maps.google.com/?cid=5284504109232542758&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,needs_verification,Marlborough,Blenheim
Gilchrist Dental,"16 Francis Street, Blenheim Central, Blenheim 7201, New Zealand",,,,,,OPERATIONAL,https://maps.google.com/?cid=12620321982863799015&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Marlborough,Blenheim
Leonard & Koorey,"150 Middle Renwick Road, Springlands, Blenheim 7201, New Zealand",03 578 9009,+64 3 578 9009,,,,OPERATIONAL,https://maps.google.com/?cid=14983561058410391459&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,needs_verification,Marlborough,Blenheim
Olliver Orthodontics Marlborough,"4 Richardson Avenue, Burleigh, Blenheim 7201, New Zealand",03 577 7100,+64 3 577 7100,http://www.olliverortho.co.nz/,5,20,OPERATIONAL,https://maps.google.com/?cid=1499318643795856808&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 1:00 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,dental_clinic,Marlborough,Blenheim
Redwood Denture Services,"98 Howick Road, Redwoodtown, Blenheim 7201, New Zealand",020 4052 5002,+64 20 4052 5002,,5,5,OPERATIONAL,https://maps.google.com/?cid=6128493395019629252&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: Closed,dental_clinic,Marlborough,Blenheim
Seymour Dental Centre,"62 Seymour Street, Blenheim Central, Blenheim 7201, New Zealand",03 578 4203,+64 3 578 4203,https://seymourdental.nz/,4,26,OPERATIONAL,https://maps.google.com/?cid=10788048146626662204&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Marlborough,Blenheim
