name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town,price
Blenheim Denture Studio,"71 Alfred Street, Blenheim Central, Blenheim 7201, New Zealand",03 578 4344,+64 3 578 4344,,,,OPERATIONAL,https://maps.google.com/?cid=10505914600259379239&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 4:30 PM; Tuesday: 9:00 AM – 4:30 PM; Wednesday: 9:00 AM – 4:30 PM; Thursday: 9:00 AM – 4:30 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,dental_clinic,Marlborough,Blenheim,no_prices
A G Spence Dental Surgery,"150 Middle Renwick Road, Springlands, Blenheim 7201, New Zealand",03 578 9009,+64 3 578 9009,,,,OPERATIONAL,https://maps.google.com/?cid=8006038186071273840&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Marlborough,Blenheim,no_prices
Olliver Orthodontics Marlborough,"4 Richardson Avenue, Burleigh, Blenheim 7201, New Zealand",03 577 7100,+64 3 577 7100,http://www.olliverortho.co.nz/,5,20,OPERATIONAL,https://maps.google.com/?cid=1499318643795856808&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 1:00 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,dental_clinic,Marlborough,Blenheim,no_prices
Gilchrist Dental,"16 Francis Street, Blenheim Central, Blenheim 7201, New Zealand",,,,,,OPERATIONAL,https://maps.google.com/?cid=12620321982863799015&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Marlborough,Blenheim,no_prices
Access Dental NZ Ltd | Nelson Dental Surgery,"122 Kawai Street, Nelson South, Nelson 7010, New Zealand",03 548 3971,+64 3 548 3971,http://www.accessdental.co.nz/,4.9,353,OPERATIONAL,https://maps.google.com/?cid=12031847740550290665&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 6:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson,Nelson,no_prices
Fresh Dental,"5 Bail Street, Stoke, Nelson 7011, New Zealand",03 547 6799,+64 3 547 6799,http://freshdental.co.nz/?utm_source=gmb&utm_medium=organic,4.6,18,OPERATIONAL,https://maps.google.com/?cid=12947379589021829280&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson,Nelson,no_prices
Tasman Dental Centre,"Lower Queen Street Health, 355 Queen Street, Richmond, Nelson 7020, New Zealand",03 544 6776,+64 3 544 6776,http://www.tasmandental.co.nz/,4.3,6,OPERATIONAL,https://maps.google.com/?cid=633070357022476379&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson,Nelson,no_prices
Nelson Oral Surgery,"37 Manuka Street, Nelson 7010, New Zealand",03 548 0838,+64 3 548 0838,http://www.nelsonoralsurgery.co.nz/,4.6,9,OPERATIONAL,https://maps.google.com/?cid=2371570905375252637&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Nelson,Nelson,no_prices
One Dental Nelson - Stoke,"575 Main Road Stoke, Stoke, Nelson 7011, New Zealand",03 547 7725,+64 3 547 7725,http://www.onedental.co.nz/,4.7,98,OPERATIONAL,https://maps.google.com/?cid=17282486875112458144&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson,Nelson,no_prices
Lumino Nelson | Lumino The Dentists,"72 Collingwood Street, Nelson 7010, New Zealand",03 548 3693,+64 3 548 3693,https://lumino.co.nz/dentists/lumino-nelson/?utm_source=google_business_profile&utm_medium=organic,4.6,24,OPERATIONAL,https://maps.google.com/?cid=15937685763708156646&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 9:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson,Nelson,no_prices
AM Dental Ltd.,"193 Milton Street, The Wood, Nelson 7010, New Zealand",03 548 4345,+64 3 548 4345,http://fellworthhouse.co.nz/,4.6,60,OPERATIONAL,https://maps.google.com/?cid=7475851385290157047&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,dental_clinic,Nelson,Nelson,no_prices
Dental Care Nelson,"193 Rutherford Street, Nelson 7010, New Zealand",03 548 8840,+64 3 548 8840,,5,11,OPERATIONAL,https://maps.google.com/?cid=9748447492665031376&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson,Nelson,no_prices
Nelson Dental Centre,"41A Halifax Street, Nelson 7010, New Zealand",03 548 4445,+64 3 548 4445,http://www.nelsondental.co.nz/,4,51,OPERATIONAL,https://maps.google.com/?cid=13490932175098274384&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson,Nelson,no_prices
Gentle Dental Nelson Ltd,"32 Bridge Street, Nelson 7010, New Zealand",03 548 4601,+64 3 548 4601,http://www.gentledentalnelson.co.nz/,4.5,68,OPERATIONAL,https://maps.google.com/?cid=8163638863510554812&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson,Nelson,no_prices
Community Oral Health Services,"32 Franklyn Street, Nelson South, Nelson 7010, New Zealand",03 539 5324,+64 3 539 5324,,5,3,OPERATIONAL,https://maps.google.com/?cid=14367006894282388003&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Nelson,Nelson,no_prices
Quin Dental,"14 New Street, Nelson 7010, New Zealand",03 928 0121,+64 3 928 0121,http://quindental.nz/,5,11,OPERATIONAL,https://maps.google.com/?cid=2436790981098848898&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson,Nelson,no_prices
Health New Zealand | Te Whatu Ora - Nelson Marlborough,"Braemar Campus, Waimea Road, Nelson South, Nelson 7010, New Zealand",03 546 1800,+64 3 546 1800,http://www.nmdhb.govt.nz/,3,9,OPERATIONAL,https://maps.google.com/?cid=5550861303826940286&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 6:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,needs_verification,Nelson,Nelson,no_prices
Nelson Hospital,"Entrance off or Tipahi St, 7010 Franklyn Street, Nelson South, Nelson 7010, New Zealand",03 546 1800,+64 3 546 1800,http://www.nmdhb.govt.nz/,4,144,OPERATIONAL,https://maps.google.com/?cid=1081127275368922464&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,needs_verification,Nelson,Nelson,no_prices
Advanced Dental,"70 Collingwood Street, Nelson 7010, New Zealand",03 548 4675,+64 3 548 4675,https://www.advanceddental.co.nz/,4.7,21,OPERATIONAL,https://maps.google.com/?cid=18188072451340246668&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson,Nelson,no_prices
Community Oral Health,"225 Nayland Road, Stoke, Nelson 7011, New Zealand",03 539 5321,+64 3 539 5321,,,,OPERATIONAL,https://maps.google.com/?cid=6105728142500354805&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson,Nelson,no_prices
Nelson Orthodontics,"27 Waimea Road, Nelson South, Nelson 7010, New Zealand",03 546 6981,+64 3 546 6981,http://www.nelsonortho.nz/,4.7,27,OPERATIONAL,https://maps.google.com/?cid=12050764537829679575&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson,Nelson,no_prices
Nelson Prosthodontics | Lumino The Dentists,"38 Collingwood Street, Nelson 7010, New Zealand",03 539 4255,+64 3 539 4255,https://lumino.co.nz/dentists/nelson-prosthodontics/?utm_source=google_business_profile&utm_medium=organic,4,4,OPERATIONAL,https://maps.google.com/?cid=6627015228748338205&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson,Nelson,no_prices
