name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town
Smile Concepts,"104 Colombo Street, Sydenham, Christchurch 8023, New Zealand",03 332 6399,+64 3 332 6399,http://www.smileconcepts.co.nz/,4.9,184,OPERATIONAL,https://maps.google.com/?cid=1382244786071358925&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 6:30 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Colombo Street Dental,"201 Colombo Street, Sydenham, Christchurch 8023, New Zealand",03 337 4596,+64 3 337 4596,https://colombostreetdental.co.nz/,4.5,177,OPERATIONAL,https://maps.google.com/?cid=7365021975520855603&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Monday: 8:00 AM – 1:00 PM, 2:00 – 7:00 PM; Tuesday: 8:00 AM – 1:00 PM, 2:00 – 6:00 PM; Wednesday: 8:00 AM – 1:00 PM, 2:00 – 5:00 PM; Thursday: 8:00 AM – 1:00 PM, 2:00 – 6:00 PM; Friday: 8:00 AM – 1:00 PM, 2:00 – 6:00 PM; Saturday: 9:00 AM – 2:00 PM; Sunday: Closed",dental_clinic,Canterbury,Christchurch
Team Dental Riccarton,"178 Riccarton Road, Riccarton, Christchurch 8041, New Zealand",03 341 1122,+64 3 341 1122,https://www.team-dental.co.nz/christchurch/riccarton/?utm_campaign=riccarton&utm_medium=gbp&utm_source=google,4.7,434,OPERATIONAL,https://maps.google.com/?cid=16547292212636178697&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 8:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 8:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 2:00 PM; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Church Corner Dental Surgery,"2 Yaldhurst Road, Upper Riccarton, Christchurch 8041, New Zealand",03 348 5750,+64 3 348 5750,https://churchcornerdental.co.nz/,4.8,132,OPERATIONAL,https://maps.google.com/?cid=2686225639682406709&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Ilam Dental Centre,"110 Memorial Avenue, Burnside, Christchurch 8053, New Zealand",03 348 1602,+64 3 348 1602,http://www.ilamdental.co.nz/,4.7,63,OPERATIONAL,https://maps.google.com/?cid=3459757675075017875&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 6:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 6:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Essential Dental,"91 Riccarton Road, Riccarton, Christchurch 8011, New Zealand",03 242 0688,+64 3 242 0688,https://www.essentialdental.nz/,4.8,77,OPERATIONAL,https://maps.google.com/?cid=14929443245415780357&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 7:00 PM; Tuesday: 8:00 AM – 7:00 PM; Wednesday: 8:00 AM – 7:00 PM; Thursday: 8:00 AM – 7:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: 8:00 AM – 5:00 PM; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Team Dental Bealey,"212 Bealey Avenue, Christchurch Central City, Christchurch 8013, New Zealand",03 595 0738,+64 3 595 0738,https://www.team-dental.co.nz/christchurch/bealey-avenue?utm_campaign=bealey&utm_medium=gbp&utm_source=google,4.8,102,OPERATIONAL,https://maps.google.com/?cid=9312900694082185217&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 7:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Northwest Dental,"296 Wairakei Road, Bryndwr, Christchurch 8053, New Zealand",03 359 8300,+64 3 359 8300,https://nwdental.co.nz/,5,69,OPERATIONAL,https://maps.google.com/?cid=17776724147532464964&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Yaldhurst Dental,"7 Filly Place, Yaldhurst, Christchurch 8042, New Zealand",03 925 8127,+64 3 925 8127,http://www.yaldhurstdental.co.nz/,5,58,OPERATIONAL,https://maps.google.com/?cid=17215604610172298447&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 7:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 10:00 AM – 7:00 PM; Friday: 9:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Smilesville Dental,"Riccarton, 131 Riccarton Road, Riccarton, Christchurch 8041, New Zealand",03 341 6800,+64 3 341 6800,https://www.smilesville.co.nz/,4.7,194,OPERATIONAL,https://maps.google.com/?cid=3117829297415785079&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Linwood Ave Dental,"201A Linwood Avenue, Linwood, Christchurch 8011, New Zealand",03 389 6023,+64 3 389 6023,,4.3,40,OPERATIONAL,https://maps.google.com/?cid=5496929252571252806&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Lumino On Cambridge Christchurch | Lumino The Dentists,"75 Cambridge Terrace, Christchurch Central City, Christchurch 8013, New Zealand",03 366 1948,+64 3 366 1948,https://lumino.co.nz/dentists/lumino-on-cambridge-christchurch/?utm_source=google_business_profile&utm_medium=organic,4.9,54,OPERATIONAL,https://maps.google.com/?cid=3708937451854349674&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Duxton Dental,"22 Bartlett Street, Riccarton, Christchurch 8011, New Zealand",03 348 5488,+64 3 348 5488,https://www.duxtondental.co.nz/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business%20Page,5,80,OPERATIONAL,https://maps.google.com/?cid=10859017429342895503&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
G&E Dental,"369 Main South Road, Hornby, Christchurch 8042, New Zealand",03 347 4703,+64 3 347 4703,http://www.gedental.nz/,4.6,480,OPERATIONAL,https://maps.google.com/?cid=11139384443069252674&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 7:00 PM; Tuesday: 9:00 AM – 7:00 PM; Wednesday: 9:00 AM – 7:00 PM; Thursday: 9:00 AM – 7:00 PM; Friday: 9:00 AM – 7:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Bealey Dental,"163 Bealey Avenue, Christchurch Central City, Christchurch 8013, New Zealand",03 366 2912,+64 3 366 2912,http://www.bealeydental.co.nz/,4.6,62,OPERATIONAL,https://maps.google.com/?cid=3023666240600375148&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 9:00 PM; Wednesday: 9:00 AM – 9:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 8:00 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Palms Dental centre,"25 Marshland Road, Shirley, Christchurch 8061, New Zealand",03 385 1466,+64 3 385 1466,http://www.palmsdentist.co.nz/,3.8,82,OPERATIONAL,https://maps.google.com/?cid=9264455013509658407&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 8:00 PM; Tuesday: 8:30 AM – 8:00 PM; Wednesday: 8:30 AM – 7:00 PM; Thursday: 8:30 AM – 8:00 PM; Friday: 8:30 AM – 5:45 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Cathedral Dental Centre,"Level 1/793 Colombo Street, Christchurch Central City, Christchurch 8013, New Zealand",03 379 8065,+64 3 379 8065,http://www.cathedraldental.co.nz/,4.6,9,OPERATIONAL,https://maps.google.com/?cid=411798700341089302&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Dental on Kilmore,"128 Kilmore Street, Christchurch Central City, Christchurch 8013, New Zealand",03 379 6766,+64 3 379 6766,https://www.dentalonkilmore.co.nz/?utm_source=Google&utm_medium=Organic&utm_campaign=GBP&utm_term=Website,5,20,OPERATIONAL,https://maps.google.com/?cid=17525940286090312970&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Richmond Village Dental,"45 North Avon Road, Richmond, Christchurch 8013, New Zealand",03 389 5923,+64 3 389 5923,https://richmondvillage.dental/,4.8,78,OPERATIONAL,https://maps.google.com/?cid=9142724364060526600&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 6:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 6:00 PM; Thursday: 8:30 AM – 6:00 PM; Friday: 8:30 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Merivale Dental Group Christchurch,"184 Papanui Road, Merivale, Christchurch 8014, New Zealand",03 355 3888,+64 3 355 3888,https://merivaledental.co.nz/,5,55,OPERATIONAL,https://maps.google.com/?cid=3358149620022809149&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 2:30 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 6:30 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Fendalton Dental,"99a Glandovey Road, Strowan, Christchurch 8052, New Zealand",03 351 1188,+64 3 351 1188,https://www.fendaltondental.co.nz/,4.8,134,OPERATIONAL,https://maps.google.com/?cid=17510081624537949118&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Christchurch Hospital Dental Department,"2 Oxford Terrace, Christchurch Central City, Christchurch 8011, New Zealand",03 364 0250,+64 3 364 0250,http://www.cdhb.health.nz/Hospitals-Services/Specialist-Care/Hospital-Dental-Service/Pages/default.aspx,3.3,24,OPERATIONAL,https://maps.google.com/?cid=6030725227685577860&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Ferry Road Dental Centre,"276 Ferry Road, Phillipstown, Christchurch 8011, New Zealand",03 381 1504,+64 3 381 1504,http://www.ferryrddental.co.nz/,3.9,26,OPERATIONAL,https://maps.google.com/?cid=7002357470002477646&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:15 PM; Tuesday: 8:30 AM – 5:15 PM; Wednesday: 8:30 AM – 5:15 PM; Thursday: 8:30 AM – 5:15 PM; Friday: 8:30 AM – 5:15 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Dental Care on Barrington,"295 Barrington Street, Spreydon, Christchurch 8244, New Zealand",03 337 3766,+64 3 337 3766,https://www.dentalhealth.co.nz/,4.4,46,OPERATIONAL,https://maps.google.com/?cid=8050431668542761941&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 8:30 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Hillmorton Community Dental Clinic,"80-82 Sylvan Street, Middleton, Christchurch 8024, New Zealand",0800 846 983,+64 800 846 983,https://www.cdhb.health.nz/health-services/community-dental-service/,4.3,9,OPERATIONAL,https://maps.google.com/?cid=15948757592237844552&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 4:30 PM; Tuesday: 8:00 AM – 4:30 PM; Wednesday: 8:00 AM – 4:30 PM; Thursday: 8:00 AM – 4:30 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Lumino St Albans | Lumino The Dentists,"144 Cranford Street, St Albans, Christchurch 8014, New Zealand",03 355 9380,+64 3 355 9380,https://lumino.co.nz/dentists/lumino-st-albans/?utm_source=google_business_profile&utm_medium=organic,3.9,52,OPERATIONAL,https://maps.google.com/?cid=13089750789095057628&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:30 PM; Tuesday: 7:30 AM – 4:30 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 7:30 AM – 5:00 PM; Friday: 7:30 AM – 4:30 PM; Saturday: 8:00 AM – 3:00 PM; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Carlton Dental Care,"24 Papanui Road, Merivale, Christchurch 8014, New Zealand",03 355 8020,+64 3 355 8020,https://www.carltondental.co.nz/,4.8,106,OPERATIONAL,https://maps.google.com/?cid=3720299496411998715&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Dana Dental Ltd,"3 Pilgrim Place, Sydenham, Christchurch 8011, New Zealand",03 379 6591,+64 3 379 6591,https://danadental.co.nz/,5,7,OPERATIONAL,https://maps.google.com/?cid=17990440078667181743&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Shirley Dental Christchurch | Lumino The Dentists,"13 Marshland Road, Shirley, Christchurch 8061, New Zealand",03 385 2310,+64 3 385 2310,https://lumino.co.nz/dentists/shirley-dental-practice/?utm_source=google_business_profile&utm_medium=organic,4.2,30,OPERATIONAL,https://maps.google.com/?cid=16599999484635670654&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
QE2 Dental,"78 Rookwood Avenue, North New Brighton, Christchurch 8083, New Zealand",03 388 0881,+64 3 388 0881,https://qe2dental.co.nz/,4.3,48,OPERATIONAL,https://maps.google.com/?cid=509040173218930824&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 7:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Windsor Dental Centre,"142 Marshland Road, Shirley, Christchurch 8061, New Zealand",03 385 3778,+64 3 385 3778,http://www.windsordentalcentre.co.nz/,4.6,42,OPERATIONAL,https://maps.google.com/?cid=14587737609549959965&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 7:00 PM; Tuesday: 8:30 AM – 7:00 PM; Wednesday: 8:30 AM – 7:00 PM; Thursday: 8:30 AM – 7:00 PM; Friday: 8:30 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
