name,address,phone_national,phone_international,email,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,suburb_town,city,price,date_scraped,description,services
All Smiles Dental,"395 Dominion Road, Mount Eden, Auckland 1024, New Zealand",0800 255 764,+64 800 255 764,,https://www.allsmilesdental.co.nz/,4.7,125,OPERATIONAL,https://maps.google.com/?cid=8636597755643485662&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 8:00 PM; Tuesday: 9:00 AM – 8:00 PM; Wednesday: 8:00 AM – 4:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,dentist,Auckland,Mount Eden,Auckland City,no_prices,2026-03-18,,
Alpers Dental Epsom,"Level 3/24 Manukau Road, Epsom, Auckland 1023, New Zealand",09 524 5056,+64 9 524 5056,,https://www.alpersdental.co.nz/,4.8,354,OPERATIONAL,https://maps.google.com/?cid=12327266266374039105&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dentist,Auckland,Epsom,Auckland City,no_prices,2026-03-18,,
Annabelle Dental Studio.,"3/65 Bellevue Road, Mount Eden, Auckland 1024, New Zealand",021 517 333,+64 21 517 333,,https://www.annabelledental.co.nz/,5,4,OPERATIONAL,https://maps.google.com/?cid=12006621758852981282&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: Closed; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: Closed,dentist,Auckland,Mount Eden,Auckland City,no_prices,2026-03-18,,
Apex Dental,"9 Victoria Street East, Auckland CBD, Auckland 1010, New Zealand",09 379 0149,+64 9 379 0149,,http://www.apexdental.co.nz/,4.1,92,OPERATIONAL,https://maps.google.com/?cid=14802504832134981126&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:30 AM – 5:00 PM; Tuesday: 9:30 AM – 5:00 PM; Wednesday: 9:30 AM – 3:00 PM; Thursday: 9:30 AM – 5:00 PM; Friday: 9:30 AM – 2:00 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: 9:00 AM – 1:00 PM,dentist,Auckland,Auckland CBD,Auckland City,no_prices,2026-03-18,,
Ardmore Dental,"63 Creightons Road, Papakura, Clevedon 2582, New Zealand",09 292 3044,+64 9 292 3044,,http://www.ardmoredental.co.nz/,4.6,71,OPERATIONAL,https://maps.google.com/?cid=14453823005769197991&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,dentist,Auckland,Papakura,Manukau,no_prices,2026-03-18,,
Auburn Dental Care,"16 Auburn Street, Takapuna, Auckland 0622, New Zealand",09 488 7373,+64 9 488 7373,,https://www.healthpoint.co.nz/dentistry/general-dentist/auburn-dental-care/,5,3,OPERATIONAL,https://maps.google.com/?cid=1184193975966410598&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 1:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dentist,Auckland,Takapuna,North Shore,no_prices,2026-03-18,,
Auckland Central | Lumino The Dentists,"1/29 Aon Centre, Customs Street West, Auckland CBD, Auckland 1010, New Zealand",09 373 4962,+64 9 373 4962,,https://lumino.co.nz/dentists/auckland-central/,4.4,78,OPERATIONAL,https://maps.google.com/?cid=10180160457789129981&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 7:00 AM – 6:30 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 5:00 PM; Saturday: 8:30 AM – 3:00 PM; Sunday: Closed,dentist,Auckland,Auckland CBD,Auckland City,no_prices,2026-03-18,,
Auckland City Dentist,"87 Queen Street, Auckland CBD, Auckland 1010, New Zealand",09 373 2456,+64 9 373 2456,,http://www.aucklandcitydentist.co.nz/,4.8,6,OPERATIONAL,https://maps.google.com/?cid=17414106471509090751&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dentist,Auckland,Auckland CBD,Auckland City,no_prices,2026-03-18,,
Auckland City Orthodontics CBD,"2/79 Queen Street, Auckland CBD, Auckland 1010, New Zealand",09 377 7607,+64 9 377 7607,,https://www.aucklandcityorthodontics.co.nz/book-a-free-consultation/,5,204,OPERATIONAL,https://maps.google.com/?cid=14139973009277689064&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 9:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,orthodontist,Auckland,Auckland CBD,Auckland City,no_prices,2026-03-18,,
Auckland City Orthodontics Grey Lynn,"Dental on Richmond 483 Richmond Road, Grey Lynn, Auckland 1021, New Zealand",09 666 4044,+64 9 666 4044,,https://www.aucklandcityorthodontics.co.nz/book-a-free-consultation/,5,11,OPERATIONAL,https://maps.google.com/?cid=16647044652498909464&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,orthodontist,Auckland,Grey Lynn,Auckland City,no_prices,2026-03-18,,
Auckland City Orthodontics Remuera,"1/333 Remuera Road, Remuera, Auckland 1050, New Zealand",09 666 4047,+64 9 666 4047,,https://www.aucklandcityorthodontics.co.nz/book-a-free-consultation/,5,1,OPERATIONAL,https://maps.google.com/?cid=10239727681483785683&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: Closed; Wednesday: Closed; Thursday: Closed; Friday: 9:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,orthodontist,Auckland,Remuera,Auckland City,no_prices,2026-03-18,,
Auckland Dental Care,"Ground Floor/9 Anzac Street, Takapuna, Auckland 0622, New Zealand",09 869 3500,+64 9 869 3500,,https://akldentalcare.co.nz/,5,168,OPERATIONAL,https://maps.google.com/?cid=8483800186981424611&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 6:00 PM; Thursday: 8:30 AM – 8:00 PM; Friday: 8:30 AM – 6:00 PM; Saturday: 8:30 AM – 2:00 PM; Sunday: Closed,dentist,Auckland,Takapuna,North Shore,no_prices,2026-03-18,,
Auckland Denture Clinic,"665 Manukau Road, Royal Oak, Auckland 1023, New Zealand",09 625 6202,+64 9 625 6202,,http://aucklanddentureclinic.co.nz/,4.7,22,OPERATIONAL,https://maps.google.com/?cid=8347614882267361787&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 4:30 PM; Tuesday: 8:30 AM – 4:30 PM; Wednesday: 8:30 AM – 4:30 PM; Thursday: 8:30 AM – 4:30 PM; Friday: 8:30 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dentures,Auckland,Royal Oak,Auckland City,no_prices,2026-03-18,,
Auckland Family Dental: Milford,"2 Dodson Avenue, Milford, Auckland 0620, New Zealand",09 489 8354,+64 9 489 8354,,http://www.milfordfamilydental.co.nz/,4.9,321,OPERATIONAL,https://maps.google.com/?cid=17939906217089051217&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 7:00 PM; Tuesday: 8:00 AM – 7:00 PM; Wednesday: 8:00 AM – 7:00 PM; Thursday: 8:00 AM – 7:00 PM; Friday: 8:00 AM – 7:00 PM; Saturday: 8:00 AM – 4:00 PM; Sunday: Closed,dentist,Auckland,Milford,North Shore,no_prices,2026-03-18,,
Auckland Family Dental: New Lynn Dental Care,"14 Delta Avenue, New Lynn, Auckland 0600, New Zealand",09 827 1664,+64 9 827 1664,,https://www.newlynndental.co.nz/,4.9,110,OPERATIONAL,https://maps.google.com/?cid=16045998191917326808&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:30 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 10:00 AM – 7:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,dentist,Auckland,New Lynn,Waitakere,no_prices,2026-03-18,,
Auckland Family Dental: Parnell Dentistry,"Suite A/177 Parnell Road, Parnell, Auckland 1052, New Zealand",09 379 0709,+64 9 379 0709,,http://www.parnelldentistry.co.nz/,4.9,206,OPERATIONAL,https://maps.google.com/?cid=11716847205175487420&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 7:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 7:30 AM – 6:30 PM; Thursday: 8:00 AM – 7:00 PM; Friday: 8:00 AM – 4:30 PM; Saturday: 9:00 AM – 4:30 PM; Sunday: Closed,dentist,Auckland,Parnell,Auckland City,no_prices,2026-03-18,,
Auckland Family Dental: Southern Care Dental,"652 Great South Road, Manukau City Centre, Auckland 2104, New Zealand",09 215 2030,+64 9 215 2030,,http://www.southerncaredental.co.nz/,4.5,84,OPERATIONAL,https://maps.google.com/?cid=10508157223991850295&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 7:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dentist,Auckland,Manukau City Centre,Manukau,no_prices,2026-03-18,,
Auckland Oral & Maxillofacial Surgery Group,"Ground floor, Auckland CBD, Auckland 1010, New Zealand",09 369 5566,+64 9 369 5566,,http://www.aoms.co.nz/,4.6,60,OPERATIONAL,https://maps.google.com/?cid=11509180428197789601&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dentist,Auckland,Auckland CBD,Auckland City,no_prices,2026-03-18,,
Auckland Periodontics and Implants - Takapuna,"39 Taharoto Road, Takapuna, Auckland 0622, New Zealand",09 869 2284,+64 9 869 2284,,https://www.perioodontics.co.nz/,,,OPERATIONAL,https://maps.google.com/?cid=5562161405928996021&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: Closed; Tuesday: 8:00 AM – 4:30 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,dentist,Auckland,Takapuna,North Shore,no_prices,2026-03-18,,
AucklandPerio,"3 Ely Avenue, Remuera, Auckland 1050, New Zealand",09 520 3003,+64 9 520 3003,,https://www.aucklandperio.co.nz/,4.2,5,OPERATIONAL,https://maps.google.com/?cid=18184020945635775609&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dentist,Auckland,Remuera,Auckland City,no_prices,2026-03-18,,
Avondale Dental,"1875 Great North Road, Avondale, Auckland 1026, New Zealand",09 828 5786,+64 9 828 5786,,https://www.avondaledental.co.nz/,4.7,94,OPERATIONAL,https://maps.google.com/?cid=11521181252217385807&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dentist,Auckland,Avondale,Auckland City,no_prices,2026-03-18,,
Avondale Dental Centre,"72 Rosebank Road, Avondale, Auckland 1026, New Zealand",09 828 7484,+64 9 828 7484,,https://www.avondale-dental-centre.co.nz/,4.4,81,OPERATIONAL,https://maps.google.com/?cid=15678769786191145055&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 6:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dentist,Auckland,Avondale,Auckland City,no_prices,2026-03-18,,
Bachmann Orthodontics,"51 Corinthian Drive, Albany, Auckland 0632, New Zealand",09 448 1128,+64 9 448 1128,,http://bachmannorthodontics.co.nz/,4.8,33,OPERATIONAL,https://maps.google.com/?cid=16554470471424527616&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 7:45 AM – 5:30 PM; Tuesday: 7:45 AM – 5:30 PM; Wednesday: 7:45 AM – 5:30 PM; Thursday: 7:45 AM – 5:30 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,orthodontist,Auckland,Albany,North Shore,no_prices,2026-03-18,,
Balmoral Dental Centre,"651 Dominion Road, Mount Eden, Auckland 1041, New Zealand",09 630 0205,+64 9 630 0205,,https://www.balmoraldentalcentre.co.nz/,4.8,37,OPERATIONAL,https://maps.google.com/?cid=15427241976235797061&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,dentist,Auckland,Mount Eden,Auckland City,no_prices,2026-03-18,,
